EXEC_FULLNAME,EXECRANK,CO_PER_ROL,compustat_company,CEOANN,AGE,GVKEY,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,PCEO,TITLE,GENDER,CITY,STATE,NAICSDESC,TICKER,NAICS
Daniel P. Garton,,16477,AMERICAN AIRLINES GROUP INC,,55,1045,2013,,,,,Executive Vice President of Marketing and Executive Vice President of Marketing - American Airlines Inc,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Thomas W. Horton,,33126,AMERICAN AIRLINES GROUP INC,CEO,51,1045,2013,20111128,,20131209,,"Chairman, Chief Executive Officer and President",MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Isabella Davidov Goren,,43629,AMERICAN AIRLINES GROUP INC,,52,1045,2013,,,,,,FEMALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
James B. Ream,,46951,AMERICAN AIRLINES GROUP INC,,57,1045,2013,,,,,"Senior Vice President of Operations, American",MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Derek J. Kerr,4,49254,AMERICAN AIRLINES GROUP INC,,48,1045,2013,,,,,Executive VP & CFO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Stephen L. Johnson,3,49255,AMERICAN AIRLINES GROUP INC,,56,1045,2013,,,,,Executive Vice President of Corporate Affairs,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
William Douglas Parker,5,49256,AMERICAN AIRLINES GROUP INC,,51,1045,2013,20131209,,,CEO,Chairman & CEO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
J. Scott Kirby,,49257,AMERICAN AIRLINES GROUP INC,,46,1045,2013,,,,,,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
"Robert D. Isom, Jr.",1,49258,AMERICAN AIRLINES GROUP INC,,49,1045,2013,,,,,President,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Derek J. Kerr,,49254,AMERICAN AIRLINES GROUP INC,,49,1045,2014,,,,,Executive VP & CFO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Stephen L. Johnson,,49255,AMERICAN AIRLINES GROUP INC,,57,1045,2014,,,,,Executive Vice President of Corporate Affairs,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
William Douglas Parker,,49256,AMERICAN AIRLINES GROUP INC,CEO,52,1045,2014,20131209,,,CEO,Chairman & CEO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
J. Scott Kirby,,49257,AMERICAN AIRLINES GROUP INC,,47,1045,2014,,,,,,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
"Robert D. Isom, Jr.",,49258,AMERICAN AIRLINES GROUP INC,,50,1045,2014,,,,,President,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Derek J. Kerr,,49254,AMERICAN AIRLINES GROUP INC,,50,1045,2015,,,,,Executive VP & CFO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Stephen L. Johnson,,49255,AMERICAN AIRLINES GROUP INC,,58,1045,2015,,,,,Executive Vice President of Corporate Affairs,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
William Douglas Parker,,49256,AMERICAN AIRLINES GROUP INC,CEO,53,1045,2015,20131209,,,CEO,Chairman & CEO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
J. Scott Kirby,,49257,AMERICAN AIRLINES GROUP INC,,48,1045,2015,,,,,,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
"Robert D. Isom, Jr.",,49258,AMERICAN AIRLINES GROUP INC,,51,1045,2015,,,,,President,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Derek J. Kerr,,49254,AMERICAN AIRLINES GROUP INC,,51,1045,2016,,,,,Executive VP & CFO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Stephen L. Johnson,,49255,AMERICAN AIRLINES GROUP INC,,59,1045,2016,,,,,Executive Vice President of Corporate Affairs,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
William Douglas Parker,,49256,AMERICAN AIRLINES GROUP INC,CEO,54,1045,2016,20131209,,,CEO,Chairman & CEO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
J. Scott Kirby,,49257,AMERICAN AIRLINES GROUP INC,,49,1045,2016,,,,,,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
"Robert D. Isom, Jr.",,49258,AMERICAN AIRLINES GROUP INC,,52,1045,2016,,,,,President,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Maya Leibman,2,55169,AMERICAN AIRLINES GROUP INC,,49,1045,2016,,,,,Executive VP & Chief Information Officer,FEMALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Derek J. Kerr,,49254,AMERICAN AIRLINES GROUP INC,,52,1045,2017,,,,,Executive VP & CFO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Stephen L. Johnson,,49255,AMERICAN AIRLINES GROUP INC,,60,1045,2017,,,,,Executive Vice President of Corporate Affairs,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
William Douglas Parker,,49256,AMERICAN AIRLINES GROUP INC,CEO,55,1045,2017,20131209,,,CEO,Chairman & CEO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
"Robert D. Isom, Jr.",,49258,AMERICAN AIRLINES GROUP INC,,53,1045,2017,,,,,President,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Maya Leibman,,55169,AMERICAN AIRLINES GROUP INC,,50,1045,2017,,,,,Executive VP & Chief Information Officer,FEMALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Derek J. Kerr,,49254,AMERICAN AIRLINES GROUP INC,,53,1045,2018,,,,,Executive VP & CFO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Stephen L. Johnson,,49255,AMERICAN AIRLINES GROUP INC,,61,1045,2018,,,,,Executive Vice President of Corporate Affairs,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
William Douglas Parker,,49256,AMERICAN AIRLINES GROUP INC,CEO,56,1045,2018,20131209,,,CEO,Chairman & CEO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
"Robert D. Isom, Jr.",,49258,AMERICAN AIRLINES GROUP INC,,54,1045,2018,,,,,President,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Maya Leibman,,55169,AMERICAN AIRLINES GROUP INC,,51,1045,2018,,,,,Executive VP & Chief Information Officer,FEMALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Derek J. Kerr,,49254,AMERICAN AIRLINES GROUP INC,,54,1045,2019,,,,,Executive VP & CFO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Stephen L. Johnson,,49255,AMERICAN AIRLINES GROUP INC,,62,1045,2019,,,,,Executive Vice President of Corporate Affairs,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
William Douglas Parker,,49256,AMERICAN AIRLINES GROUP INC,CEO,57,1045,2019,20131209,,,CEO,Chairman & CEO,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
"Robert D. Isom, Jr.",,49258,AMERICAN AIRLINES GROUP INC,,55,1045,2019,,,,,President,MALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
Maya Leibman,,55169,AMERICAN AIRLINES GROUP INC,,52,1045,2019,,,,,Executive VP & Chief Information Officer,FEMALE,Fort Worth,TX,Scheduled Passenger Air Transportation,AAL,481111
David M. Cote,,25016,HONEYWELL INTERNATIONAL INC,CEO,57,1300,2010,20020601,20020218,20170331,,chairman & CEO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
"David John Anderson, B.S., M.B.A., MBA",,26784,HONEYWELL INTERNATIONAL INC,,61,1300,2010,,20030623,,,senior vp & chief finance officer,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Roger B. Fradin,,28530,HONEYWELL INTERNATIONAL INC,,57,1300,2010,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Andreas C. Kramvis,,38781,HONEYWELL INTERNATIONAL INC,,57,1300,2010,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Timothy O. Mahoney,2,43254,HONEYWELL INTERNATIONAL INC,,53,1300,2010,,,,,Senior Vice President of Enterprise Transformation,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
David M. Cote,,25016,HONEYWELL INTERNATIONAL INC,CEO,58,1300,2011,20020601,20020218,20170331,,chairman & CEO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
"David John Anderson, B.S., M.B.A., MBA",,26784,HONEYWELL INTERNATIONAL INC,,62,1300,2011,,20030623,,,senior vp & chief finance officer,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Roger B. Fradin,,28530,HONEYWELL INTERNATIONAL INC,,58,1300,2011,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Andreas C. Kramvis,,38781,HONEYWELL INTERNATIONAL INC,,58,1300,2011,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Timothy O. Mahoney,,43254,HONEYWELL INTERNATIONAL INC,,54,1300,2011,,,,,Senior Vice President of Enterprise Transformation,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
David M. Cote,,25016,HONEYWELL INTERNATIONAL INC,CEO,59,1300,2012,20020601,20020218,20170331,,chairman & CEO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
"David John Anderson, B.S., M.B.A., MBA",,26784,HONEYWELL INTERNATIONAL INC,,63,1300,2012,,20030623,,,senior vp & chief finance officer,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Roger B. Fradin,,28530,HONEYWELL INTERNATIONAL INC,,59,1300,2012,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Andreas C. Kramvis,,38781,HONEYWELL INTERNATIONAL INC,,59,1300,2012,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Timothy O. Mahoney,,43254,HONEYWELL INTERNATIONAL INC,,55,1300,2012,,,,,Senior Vice President of Enterprise Transformation,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
David M. Cote,,25016,HONEYWELL INTERNATIONAL INC,CEO,60,1300,2013,20020601,20020218,20170331,,chairman & CEO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
"David John Anderson, B.S., M.B.A., MBA",,26784,HONEYWELL INTERNATIONAL INC,,64,1300,2013,,20030623,,,senior vp & chief finance officer,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Roger B. Fradin,,28530,HONEYWELL INTERNATIONAL INC,,60,1300,2013,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Andreas C. Kramvis,,38781,HONEYWELL INTERNATIONAL INC,,60,1300,2013,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Timothy O. Mahoney,,43254,HONEYWELL INTERNATIONAL INC,,56,1300,2013,,,,,Senior Vice President of Enterprise Transformation,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
David M. Cote,,25016,HONEYWELL INTERNATIONAL INC,CEO,61,1300,2014,20020601,20020218,20170331,,chairman & CEO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
"David John Anderson, B.S., M.B.A., MBA",,26784,HONEYWELL INTERNATIONAL INC,,65,1300,2014,,20030623,,,senior vp & chief finance officer,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Roger B. Fradin,,28530,HONEYWELL INTERNATIONAL INC,,61,1300,2014,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Andreas C. Kramvis,,38781,HONEYWELL INTERNATIONAL INC,,61,1300,2014,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Timothy O. Mahoney,,43254,HONEYWELL INTERNATIONAL INC,,57,1300,2014,,,,,Senior Vice President of Enterprise Transformation,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Thomas A. Szlosek,,50000,HONEYWELL INTERNATIONAL INC,,50,1300,2014,,,,,Senior VP & CFO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
David M. Cote,,25016,HONEYWELL INTERNATIONAL INC,CEO,62,1300,2015,20020601,20020218,20170331,,chairman & CEO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Roger B. Fradin,,28530,HONEYWELL INTERNATIONAL INC,,62,1300,2015,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Andreas C. Kramvis,,38781,HONEYWELL INTERNATIONAL INC,,62,1300,2015,,,,,Vice Chairman,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Timothy O. Mahoney,,43254,HONEYWELL INTERNATIONAL INC,,58,1300,2015,,,,,Senior Vice President of Enterprise Transformation,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Thomas A. Szlosek,,50000,HONEYWELL INTERNATIONAL INC,,51,1300,2015,,,,,Senior VP & CFO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
David M. Cote,,25016,HONEYWELL INTERNATIONAL INC,CEO,63,1300,2016,20020601,20020218,20170331,,chairman & CEO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Timothy O. Mahoney,,43254,HONEYWELL INTERNATIONAL INC,,59,1300,2016,,,,,Senior Vice President of Enterprise Transformation,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Thomas A. Szlosek,,50000,HONEYWELL INTERNATIONAL INC,,52,1300,2016,,,,,Senior VP & CFO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Darius E. Adamczyk,1,54028,HONEYWELL INTERNATIONAL INC,,50,1300,2016,20170331,,,CEO,"Chairman of the Board, CEO & President",MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Krishna Mikkilineni,,54029,HONEYWELL INTERNATIONAL INC,,56,1300,2016,,,,,Senior Vice President of Engineering & Information Technology,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
David M. Cote,,25016,HONEYWELL INTERNATIONAL INC,,64,1300,2017,20020601,20020218,20170331,,chairman & CEO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Timothy O. Mahoney,,43254,HONEYWELL INTERNATIONAL INC,,60,1300,2017,,,,,Senior Vice President of Enterprise Transformation,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Thomas A. Szlosek,,50000,HONEYWELL INTERNATIONAL INC,,53,1300,2017,,,,,Senior VP & CFO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Darius E. Adamczyk,,54028,HONEYWELL INTERNATIONAL INC,CEO,51,1300,2017,20170331,,,CEO,"Chairman of the Board, CEO & President",MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Krishna Mikkilineni,,54029,HONEYWELL INTERNATIONAL INC,,57,1300,2017,,,,,Senior Vice President of Engineering & Information Technology,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Rajeev Gautam,4,58579,HONEYWELL INTERNATIONAL INC,,64,1300,2017,,,,,President and CEO of Performance Materials & Technologies,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Timothy O. Mahoney,,43254,HONEYWELL INTERNATIONAL INC,,61,1300,2018,,,,,Senior Vice President of Enterprise Transformation,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Thomas A. Szlosek,,50000,HONEYWELL INTERNATIONAL INC,,54,1300,2018,,,,,Senior VP & CFO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Darius E. Adamczyk,,54028,HONEYWELL INTERNATIONAL INC,CEO,52,1300,2018,20170331,,,CEO,"Chairman of the Board, CEO & President",MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Krishna Mikkilineni,,54029,HONEYWELL INTERNATIONAL INC,,58,1300,2018,,,,,Senior Vice President of Engineering & Information Technology,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Rajeev Gautam,,58579,HONEYWELL INTERNATIONAL INC,,65,1300,2018,,,,,President and CEO of Performance Materials & Technologies,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Gregory Peter Lewis,6,60868,HONEYWELL INTERNATIONAL INC,,49,1300,2018,,,,,Senior VP & CFO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Mark Russell James,3,62302,HONEYWELL INTERNATIONAL INC,,56,1300,2018,,,,,"Senior Vice President of Human Resources, Security & Communications",MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Timothy O. Mahoney,,43254,HONEYWELL INTERNATIONAL INC,,62,1300,2019,,,,,Senior Vice President of Enterprise Transformation,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Darius E. Adamczyk,,54028,HONEYWELL INTERNATIONAL INC,CEO,53,1300,2019,20170331,,,CEO,"Chairman of the Board, CEO & President",MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Rajeev Gautam,,58579,HONEYWELL INTERNATIONAL INC,,66,1300,2019,,,,,President and CEO of Performance Materials & Technologies,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Gregory Peter Lewis,,60868,HONEYWELL INTERNATIONAL INC,,50,1300,2019,,,,,Senior VP & CFO,MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Mark Russell James,,62302,HONEYWELL INTERNATIONAL INC,,57,1300,2019,,,,,"Senior Vice President of Human Resources, Security & Communications",MALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Anne T. Madden,5,63148,HONEYWELL INTERNATIONAL INC,,54,1300,2019,,,,,Senior VP & General Counsel,FEMALE,Charlotte,NC,Other Aircraft Parts and Auxiliary Equipment Manuf,HON,336413
Kenneth I. Chenault,,111,AMERICAN EXPRESS CO,CEO,58,1447,2010,20010101,,20180201,,Chairman & CEO,MALE,New York,NY,Credit Card Issuing,AXP,522210
Edward P. Gilligan,,24993,AMERICAN EXPRESS CO,,51,1447,2010,,,,,"President and Head of Global Consumer & Small Business Card Issuing, Network & Merchant Businesses",MALE,New York,NY,Credit Card Issuing,AXP,522210
Daniel T. Henry,,34025,AMERICAN EXPRESS CO,,60,1447,2010,,,,,"Chief Financial Officer, Executive Vice President and Chairman of Asset-Liability Committee",MALE,New York,NY,Credit Card Issuing,AXP,522210
Stephen Joseph Squeri,,37051,AMERICAN EXPRESS CO,,50,1447,2010,20180201,,,CEO,Chairman & CEO,MALE,New York,NY,Credit Card Issuing,AXP,522210
Daniel H. Schulman,,43257,AMERICAN EXPRESS CO,,52,1447,2010,,,,,,MALE,New York,NY,Credit Card Issuing,AXP,522210
Kenneth I. Chenault,,111,AMERICAN EXPRESS CO,CEO,59,1447,2011,20010101,,20180201,,Chairman & CEO,MALE,New York,NY,Credit Card Issuing,AXP,522210
Edward P. Gilligan,,24993,AMERICAN EXPRESS CO,,52,1447,2011,,,,,"President and Head of Global Consumer & Small Business Card Issuing, Network & Merchant Businesses",MALE,New York,NY,Credit Card Issuing,AXP,522210
Daniel T. Henry,,34025,AMERICAN EXPRESS CO,,61,1447,2011,,,,,"Chief Financial Officer, Executive Vice President and Chairman of Asset-Liability Committee",MALE,New York,NY,Credit Card Issuing,AXP,522210
Stephen Joseph Squeri,,37051,AMERICAN EXPRESS CO,,51,1447,2011,20180201,,,CEO,Chairman & CEO,MALE,New York,NY,Credit Card Issuing,AXP,522210
Daniel H. Schulman,,43257,AMERICAN EXPRESS CO,,53,1447,2011,,,,,,MALE,New York,NY,Credit Card Issuing,AXP,522210
Kenneth I. Chenault,,111,AMERICAN EXPRESS CO,CEO,60,1447,2012,20010101,,20180201,,Chairman & CEO,MALE,New York,NY,Credit Card Issuing,AXP,522210
Edward P. Gilligan,,24993,AMERICAN EXPRESS CO,,53,1447,2012,,,,,"President and Head of Global Consumer & Small Business Card Issuing, Network & Merchant Businesses",MALE,New York,NY,Credit Card Issuing,AXP,522210
Daniel T. Henry,,34025,AMERICAN EXPRESS CO,,62,1447,2012,,,,,"Chief Financial Officer, Executive Vice President and Chairman of Asset-Liability Committee",MALE,New York,NY,Credit Card Issuing,AXP,522210
Stephen Joseph Squeri,,37051,AMERICAN EXPRESS CO,,52,1447,2012,20180201,,,CEO,Chairman & CEO,MALE,New York,NY,Credit Card Issuing,AXP,522210
Daniel H. Schulman,,43257,AMERICAN EXPRESS CO,,54,1447,2012,,,,,,MALE,New York,NY,Credit Card Issuing,AXP,522210
Kenneth I. Chenault,,111,AMERICAN EXPRESS CO,CEO,61,1447,2013,20010101,,20180201,,Chairman & CEO,MALE,New York,NY,Credit Card Issuing,AXP,522210
Edward P. Gilligan,,24993,AMERICAN EXPRESS CO,,54,1447,2013,,,,,"President and Head of Global Consumer & Small Business Card Issuing, Network & Merchant Businesses",MALE,New York,NY,Credit Card Issuing,AXP,522210
Daniel T. Henry,,34025,AMERICAN EXPRESS CO,,63,1447,2013,,,,,"Chief Financial Officer, Executive Vice President and Chairman of Asset-Liability Committee",MALE,New York,NY,Credit Card Issuing,AXP,522210
Stephen Joseph Squeri,,37051,AMERICAN EXPRESS CO,,53,1447,2013,20180201,,,CEO,Chairman & CEO,MALE,New York,NY,Credit Card Issuing,AXP,522210
Daniel H. Schulman,,43257,AMERICAN EXPRESS CO,,55,1447,2013,,,,,,MALE,New York,NY,Credit Card Issuing,AXP,522210
Jeffrey C. Campbell,3,48327,AMERICAN EXPRESS CO,,52,1447,2013,,,,,Chief Financial Officer,MALE,New York,NY,Credit Card Issuing,AXP,522210
Kenneth I. Chenault,,111,AMERICAN EXPRESS CO,CEO,62,1447,2014,20010101,,20180201,,Chairman & CEO,MALE,New York,NY,Credit Card Issuing,AXP,522210
